fishid,waterbody,reading,reader,rep,light_type,id,agecap,ann,rad,radcap
NAR061119005,NAR,LSR_1,LSR,1,R,R-NAR061119005,2,2,0.5326558662773542,0.6226461825303305
NAR061119005,NAR,MJS_1,MJS,1,R,R-NAR061119005,2,1,0.44792846067642816,0.8398837692667653
NAR061119005,NAR,MJS_1,MJS,1,R,R-NAR061119005,2,2,0.6771048701027564,0.8398837692667653
NAR061119006,NAR,CJF_1,CJF,1,R,R-NAR061119006,5,1,0.5898374129336622,1.1271748104090458
NAR061119006,NAR,CJF_1,CJF,1,R,R-NAR061119006,5,2,0.7797217538264491,1.1271748104090458
NAR061119006,NAR,CJF_1,CJF,1,R,R-NAR061119006,5,3,0.8948053962062851,1.1271748104090458
NAR061119006,NAR,CJF_1,CJF,1,R,R-NAR061119006,5,4,0.9937827279708644,1.1271748104090458
NAR061119006,NAR,CJF_1,CJF,1,R,R-NAR061119006,5,5,1.1029466751711854,1.1271748104090458
NAR061119006,NAR,CJF_2,CJF,2,R,R-NAR061119006,5,1,0.5774534369374746,1.079954629888075
NAR061119006,NAR,CJF_2,CJF,2,R,R-NAR061119006,5,2,0.7552913914165601,1.079954629888075
NAR061119006,NAR,CJF_2,CJF,2,R,R-NAR061119006,5,3,0.8905787723133639,1.079954629888075
NAR061119006,NAR,CJF_2,CJF,2,R,R-NAR061119006,5,4,1.0107713374490128,1.079954629888075
NAR061119006,NAR,CJF_2,CJF,2,R,R-NAR061119006,5,5,1.079954629888075,1.079954629888075
NAR061119006,NAR,CJF_3,CJF,3,R,R-NAR061119006,5,1,0.5475752579179148,1.0868978780957004
NAR061119006,NAR,CJF_3,CJF,3,R,R-NAR061119006,5,2,0.7583900775002094,1.0868978780957004
NAR061119006,NAR,CJF_3,CJF,3,R,R-NAR061119006,5,3,0.8721018964311682,1.0868978780957004
NAR061119006,NAR,CJF_3,CJF,3,R,R-NAR061119006,5,4,0.9943566666779109,1.0868978780957004
NAR061119006,NAR,CJF_3,CJF,3,R,R-NAR061119006,5,5,1.0868978780957004,1.0868978780957004
NAR061119006,NAR,JRS_1,JRS,1,R,R-NAR061119006,4,1,0.5782199937294221,1.0896627517399058
NAR061119006,NAR,JRS_1,JRS,1,R,R-NAR061119006,4,2,0.7696970966639436,1.0896627517399058
NAR061119006,NAR,JRS_1,JRS,1,R,R-NAR061119006,4,3,0.8950248265183476,1.0896627517399058
NAR061119006,NAR,JRS_1,JRS,1,R,R-NAR061119006,4,4,0.9909203436453132,1.0896627517399058
NAR061119006,NAR,LEL_1,LEL,1,R,R-NAR061119006,4,1,0.6005304527280922,1.0791042201740277
NAR061119006,NAR,LEL_1,LEL,1,R,R-NAR061119006,4,2,0.7610976847450558,1.0791042201740277
NAR061119006,NAR,LEL_1,LEL,1,R,R-NAR061119006,4,3,0.8844933034811112,1.0791042201740277
NAR061119006,NAR,LEL_1,LEL,1,R,R-NAR061119006,4,4,0.9923627474737842,1.0791042201740277
NAR061119006,NAR,LSR_1,LSR,1,R,R-NAR061119006,4,1,0.34504675066818447,0.7043546724248507
NAR061119006,NAR,LSR_1,LSR,1,R,R-NAR061119006,4,2,0.4608014029216742,0.7043546724248507
NAR061119006,NAR,LSR_1,LSR,1,R,R-NAR061119006,4,3,0.562079190217913,0.7043546724248507
NAR061119006,NAR,LSR_1,LSR,1,R,R-NAR061119006,4,4,0.6298134089508476,0.7043546724248507
NAR061119006,NAR,MJS_1,MJS,1,R,R-NAR061119006,4,1,0.38561331377107727,0.736898864863385
NAR061119006,NAR,MJS_1,MJS,1,R,R-NAR061119006,4,2,0.5222501208978818,0.736898864863385
NAR061119006,NAR,MJS_1,MJS,1,R,R-NAR061119006,4,3,0.6221989710019331,0.736898864863385
NAR061119006,NAR,MJS_1,MJS,1,R,R-NAR061119006,4,4,0.6819617555146318,0.736898864863385
NAR061119007,NAR,CJF_1,CJF,1,R,R-NAR061119007,14,1,0.49998588500722235,1.5878376725140162
NAR061119007,NAR,CJF_1,CJF,1,R,R-NAR061119007,14,2,0.675199686977064,1.5878376725140162
NAR061119007,NAR,CJF_1,CJF,1,R,R-NAR061119007,14,3,0.8072922071945883,1.5878376725140162
NAR061119007,NAR,CJF_1,CJF,1,R,R-NAR061119007,14,4,0.9124563228842851,1.5878376725140162
NAR061119007,NAR,CJF_1,CJF,1,R,R-NAR061119007,14,5,0.9908749417556754,1.5878376725140162
NAR061119007,NAR,CJF_1,CJF,1,R,R-NAR061119007,14,6,1.053464008707912,1.5878376725140162
NAR061119007,NAR,CJF_1,CJF,1,R,R-NAR061119007,14,7,1.1528062041142704,1.5878376725140162
NAR061119007,NAR,CJF_1,CJF,1,R,R-NAR061119007,14,8,1.2128482587585998,1.5878376725140162
NAR061119007,NAR,CJF_1,CJF,1,R,R-NAR061119007,14,9,1.2938138899378975,1.5878376725140162
NAR061119007,NAR,CJF_1,CJF,1,R,R-NAR061119007,14,10,1.3705950548215717,1.5878376725140162
NAR061119007,NAR,CJF_1,CJF,1,R,R-NAR061119007,14,11,1.4475578823579138,1.5878376725140162
NAR061119007,NAR,CJF_1,CJF,1,R,R-NAR061119007,14,12,1.5035971333592875,1.5878376725140162
NAR061119007,NAR,CJF_1,CJF,1,R,R-NAR061119007,14,13,1.5452626237765563,1.5878376725140162
NAR061119007,NAR,CJF_1,CJF,1,R,R-NAR061119007,14,14,1.5661862003115241,1.5878376725140162
NAR061119007,NAR,CJF_2,CJF,2,R,R-NAR061119007,14,1,0.5655674033907859,1.6439977517519195
NAR061119007,NAR,CJF_2,CJF,2,R,R-NAR061119007,14,2,0.7500863260146147,1.6439977517519195
NAR061119007,NAR,CJF_2,CJF,2,R,R-NAR061119007,14,3,0.8708510523777592,1.6439977517519195
NAR061119007,NAR,CJF_2,CJF,2,R,R-NAR061119007,14,4,0.9763132873709289,1.6439977517519195
NAR061119007,NAR,CJF_2,CJF,2,R,R-NAR061119007,14,5,1.059070993665767,1.6439977517519195
NAR061119007,NAR,CJF_2,CJF,2,R,R-NAR061119007,14,6,1.1471489874739738,1.6439977517519195
NAR061119007,NAR,CJF_2,CJF,2,R,R-NAR061119007,14,7,1.229248322598677,1.6439977517519195
NAR061119007,NAR,CJF_2,CJF,2,R,R-NAR061119007,14,8,1.2886431290250469,1.6439977517519195
