fishid,radcap
JAX111419051,0.5195137309557595
JAX111419052,0.7176793168780758
JAX111419053,1.1170049087262244
JAX111419054,0.6482038900891649
JAX111419055,0.6638336346458822
JAX111419056,0.6188095946450082
JAX111419057,0.5883488253219384
JAX111419058,0.6698023619558477
JAX111419059,0.7248240462065145
JAX111419060,0.6897398303858737
JAX111419061,0.5845770565736026
JAX111419062,0.7453408892645669
JAX111419063,0.6474284127498042
JAX111419064,0.6222981322387604
JAX111419065,0.836045058502246
JAX111419066,0.6576693327837382
JAX111419067,0.5458701704174891
JAX111419068,0.8414307420547276
JAX111419069,0.7528996445776017
JAX111419070,0.7929158462788082
JAX111419071,0.8763701794093774
JAX111419072,0.6299019019146277
JAX111419073,0.8868200000237576
JAX111419074,0.6875163626617993
JAX111419075,0.8561138011596126
JAX111419076,0.7889167239775681
JAX111419077,0.9407805454385939
JAX111419078,0.8146304185288693
JAX111419079,0.7441805052155104
JAX111419080,0.5688178961277964
JAX111419081,0.47279853760084967
JAX111419082,0.8470075550363644
JAX111419083,0.5561165130194448
JAX111419084,0.6524655355084616
JAX111419085,0.5116624694151748
JAX111419086,0.531185488292463
JAX111419087,0.5350282392794898
JAX111419088,0.6681167432479205
JAX111419089,0.537680998046221
JAX111419090,0.64880775222002
JAX111419091,0.44068132864140447
JAX111419092,0.44468823949819736
JAX111419093,1.0166245015880158
JAX111419094,0.7387631359984992
JAX111419095,0.8742755939242327
JAX111419096,0.5544147871066094
JAX111419097,0.7691650570923179
JAX111419098,0.7416907739051001
JAX111419099,0.585152198508265
JAX111419100,0.5105227557738206
JAX111419101,1.0177477937129251
JAX111419102,1.0288583897685932
JAX111419103,0.7956386332108555
JAX111419104,0.8986014391355264
JAX111419105,0.5526381422613048
JAX111419106,0.8756440621020651
JAX111419107,0.8267685720286383
JAX111419108,0.9528989308658531
JAX111419109,0.7871374348737658
JAX111419110,0.8628625894325557
JAX111419111,1.0534695843438548
JAX111419112,0.8356828245926949
JAX111419113,0.9327011380363892
JAX111419114,0.76191890496975
JAX111419115,0.8197186447398912
JAX111419116,0.9570300045262246
JAX111419117,0.5861637415323744
JAX111419118,0.6313068145080081
JAX111419119,0.9585834337037668
JAX111419120,0.9503719074012902
JAX111419121,0.8133188026071253
JAX111419122,0.88673204619896
JAX111419123,0.7085687407812301
JAX111419124,0.7077078729579916
JAX111419125,0.7295126221567421
JAX111419126,0.7590643274730199
JAX111419127,0.6111966992657475
JAX111419128,0.8665004328387451
JAX111419129,0.870057020038182
JAX111419130,1.1589670848027334
JAX111419131,0.6844342858080008
JAX111419132,0.4078756818264432
JUM101118A012,0.691257552426986
JUM101118A013,0.4977753378630736
JUM101118A014,0.6649392821708572
JUM101118A015,0.6282527881040892
JUM101118A016,0.4496353474776615
JUM101118A017,0.4552264967405045
JUM101118A018,0.7486705180395572
