fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,rad22,rad23,rad24,rad25
ANX091620J031,ANX,CJF_1,CJF,1,A,ANX091620J031,1,0.7617096185759449,0.5344460653422072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J032,ANX,CJF_1,CJF,1,A,ANX091620J032,3,0.9069224255495489,0.4757211064801508,0.7111169937250259,0.8284731245325513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J033,ANX,CJF_1,CJF,1,A,ANX091620J033,1,0.7256154041414953,0.5386036289030058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J034,ANX,CJF_1,CJF,1,A,ANX091620J034,4,1.1878934219957678,0.5458762757735559,0.77696364005723,0.956741377118223,1.081954124809716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J035,ANX,CJF_1,CJF,1,A,ANX091620J035,4,1.0376027310588867,0.4670544394050725,0.6317065274501819,0.8273738868978235,0.9383129028637236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J036,ANX,CJF_1,CJF,1,A,ANX091620J036,0,0.3839894907407159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091620J037,ANX,CJF_1,CJF,1,A,ANX091620J037,1,0.8289466247512606,0.5799577075315979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J001,ANX,CJF_1,CJF,1,A,ANX100220J001,0,0.510001325770465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J002,ANX,CJF_1,CJF,1,A,ANX100220J002,4,1.0898299104650722,0.503185216505731,0.7306439621001087,0.8751435940780301,1.0044590734181265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J003,ANX,CJF_1,CJF,1,A,ANX100220J003,3,1.0170560974395917,0.5154988625942496,0.7366023067064499,0.9063243708305226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J004,ANX,CJF_1,CJF,1,A,ANX100220J004,0,0.5029099090455846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J005,ANX,CJF_1,CJF,1,A,ANX100220J005,4,1.0790177034995179,0.47766268382365423,0.7136721292299344,0.8565197600262646,1.015820385380111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J006,ANX,CJF_1,CJF,1,A,ANX100220J006,1,0.7389224487893409,0.5250016994917293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J007,ANX,CJF_1,CJF,1,A,ANX100220J007,0,0.48567832802437977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J008,ANX,CJF_1,CJF,1,A,ANX100220J008,3,0.9863744302000252,0.5417599079684811,0.759068776201867,0.8862045192331175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J009,ANX,CJF_1,CJF,1,A,ANX100220J009,3,0.9675265993642554,0.5128458855497544,0.6873414007555162,0.8324665183420439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J010,ANX,CJF_1,CJF,1,A,ANX100220J010,4,1.0914991780699186,0.5329290078895492,0.7330739251455056,0.8661084842529757,1.0093515578142556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J011,ANX,CJF_1,CJF,1,A,ANX100220J011,3,1.040282554027374,0.5138163560423024,0.7340665744985543,0.9366356318804807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J012,ANX,CJF_1,CJF,1,A,ANX100220J012,0,0.4769167772826604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J013,ANX,CJF_1,CJF,1,A,ANX100220J013,6,1.5054415154439154,0.5866668204677655,0.8142418813465816,1.0068426267907158,1.151706790656366,1.3065084035121897,1.397986351492099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J014,ANX,CJF_1,CJF,1,A,ANX100220J014,6,1.392123064675502,0.5065236641501761,0.7295128929807158,0.9175655536125193,1.0832776229038936,1.197891468349901,1.2966412899876676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J015,ANX,CJF_1,CJF,1,A,ANX100220J015,4,1.1659331963053834,0.5831029157158236,0.7423862035434446,0.8888850724817731,1.0578301545754996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J016,ANX,CJF_1,CJF,1,A,ANX100220J016,1,0.7316122940105688,0.5318535217220719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J017,ANX,CJF_1,CJF,1,A,ANX100220J017,3,0.8644013235909223,0.41709987348197797,0.598501487832206,0.743498939788843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J018,ANX,CJF_1,CJF,1,A,ANX100220J018,3,0.8328184736847782,0.36318595716036506,0.569165834459517,0.7429195690654704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J019,ANX,CJF_1,CJF,1,A,ANX100220J019,5,1.2396684543477063,0.48879039774875727,0.6997345892723847,0.8921541247220357,1.0212640415462568,1.1382078070716117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J020,ANX,CJF_1,CJF,1,A,ANX100220J020,0,0.5907784857719058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J021,ANX,CJF_1,CJF,1,A,ANX100220J021,3,0.9696298580227071,0.4904654006674354,0.7130999687017141,0.8525758082149566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J022,ANX,CJF_1,CJF,1,A,ANX100220J022,3,0.9628968541174348,0.4471585784374361,0.652697717468169,0.8279594443117059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J023,ANX,CJF_1,CJF,1,A,ANX100220J023,1,0.7663384826093702,0.581222633871898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J024,ANX,CJF_1,CJF,1,A,ANX100220J024,3,1.11494541843581,0.5621577608285113,0.8189888828270688,0.9979185891738722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J025,ANX,CJF_1,CJF,1,A,ANX100220J025,1,0.6893977385258153,0.5418771101140337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J026,ANX,CJF_1,CJF,1,A,ANX100220J026,2,0.9089667063294283,0.5728162314017586,0.7875095621087358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J027,ANX,CJF_1,CJF,1,A,ANX100220J027,0,0.5401062998945887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J028,ANX,CJF_1,CJF,1,A,ANX100220J028,1,0.6225660655641863,0.47876916608252995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J029,ANX,CJF_1,CJF,1,A,ANX100220J029,0,0.48877142112757743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J030,ANX,CJF_1,CJF,1,A,ANX100220J030,3,1.1031233279454196,0.5257937081006794,0.8226396054344032,0.9901708882030118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J031,ANX,CJF_1,CJF,1,A,ANX100220J031,0,0.5336147765327236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J032,ANX,CJF_1,CJF,1,A,ANX100220J032,4,0.9260556027193588,0.4031188226012704,0.5485966205356096,0.6843280012453933,0.8382297943457864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J033,ANX,CJF_1,CJF,1,A,ANX100220J033,0,0.605052813362669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J034,ANX,CJF_1,CJF,1,A,ANX100220J034,3,1.0031597460346333,0.4391907047134419,0.7082940310601539,0.9137131179936697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J035,ANX,CJF_1,CJF,1,A,ANX100220J035,0,0.6259795166953835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J037,ANX,CJF_1,CJF,1,A,ANX100220J037,1,0.8158889947833361,0.5723921875119462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J038,ANX,CJF_1,CJF,1,A,ANX100220J038,4,1.0746630950910712,0.49260165304009407,0.670300985769545,0.8041592717713276,0.9576029353181619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J039,ANX,CJF_1,CJF,1,A,ANX100220J039,0,0.5089920748657599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J040,ANX,CJF_1,CJF,1,A,ANX100220J040,3,1.0129883053598596,0.4593315456116407,0.6950607892077794,0.8816341993872917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J041,ANX,CJF_1,CJF,1,A,ANX100220J041,1,0.7522315288830194,0.5559694245158011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J042,ANX,CJF_1,CJF,1,A,ANX100220J042,0,0.5356506289218506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J043,ANX,CJF_1,CJF,1,A,ANX100220J043,4,1.1298739582031518,0.5267179939741748,0.7074835508026683,0.9234342043647786,1.0377988493595618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J044,ANX,CJF_1,CJF,1,A,ANX100220J044,1,0.6301374807198793,0.45037119528615194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J045,ANX,CJF_1,CJF,1,A,ANX100220J045,0,0.6207937763659666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J046,ANX,CJF_1,CJF,1,A,ANX100220J046,0,0.48201659206352604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J047,ANX,CJF_1,CJF,1,A,ANX100220J047,1,0.7574161999267881,0.5457726499587527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J048,ANX,CJF_1,CJF,1,A,ANX100220J048,1,0.6799513940972465,0.47722620399034543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J049,ANX,CJF_1,CJF,1,A,ANX100220J049,0,0.6115181746015552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J050,ANX,CJF_1,CJF,1,A,ANX100220J050,0,0.552971715809788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J051,ANX,CJF_1,CJF,1,A,ANX100220J051,0,0.543138404903797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J052,ANX,CJF_1,CJF,1,A,ANX100220J052,2,0.8592260222300435,0.5187123757730878,0.7378934337139527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J053,ANX,CJF_1,CJF,1,A,ANX100220J053,4,0.9125594423369565,0.51026499091821,0.6110880116792811,0.7209022627451104,0.8423975356228921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX100220J054,ANX,CJF_1,CJF,1,A,ANX100220J054,4,0.9043382731607689,0.4216897012371968,0.5534905737305706,0.7210160704569208,0.8433794024743935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
