fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,rad22,rad23,rad24,date,date2
NAR041321005,NAR,CJF_1,CJF,1,R,R-NAR041321005,2,0.7571331466525965,0.5413649444715384,0.7571331466525965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321006,NAR,CJF_1,CJF,1,R,R-NAR041321006,2,0.6592292676910553,0.42291106866210165,0.6592292676910553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321007,NAR,CJF_1,CJF,1,R,R-NAR041321007,2,0.7715402199759909,0.5166759230053125,0.7715402199759909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321008,NAR,CJF_1,CJF,1,R,R-NAR041321008,2,0.6709267521971068,0.45469932991216183,0.6709267521971068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321009,NAR,CJF_1,CJF,1,R,R-NAR041321009,3,0.9411248509536124,0.4767368638378588,0.7589855449490821,0.9411248509536124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321010,NAR,CJF_1,CJF,1,R,R-NAR041321010,4,0.9143006728956878,0.4596624984594455,0.6273785118431416,0.7577939298619205,0.9143006728956878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321011,NAR,CJF_1,CJF,1,R,R-NAR041321011,9,1.2902602417927969,0.4736889750568448,0.6649508389058569,0.7866054806093553,0.8927947525976481,0.989390637825968,1.0545321754057961,1.130976333810358,1.208909053736816,1.2902602417927969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321012,NAR,CJF_1,CJF,1,R,R-NAR041321012,22,2.009818442311152,0.42618012478318695,0.57575970244601,0.7285009756218533,0.8465923964572916,0.9414842037986466,1.0077504140241964,1.088414890179489,1.1660886055654414,1.2409424949257333,1.3101139985487835,1.3619392091586715,1.4252146586148815,1.4828931897056903,1.5462968402196597,1.5980793171436283,1.667165353394839,1.707454857786565,1.765090655191454,1.8342194251285844,1.8889499291359728,1.9465002591690224,2.009818442311152,NA,NA,041321,2021-04-13
NAR041321013,NAR,CJF_1,CJF,1,R,R-NAR041321013,2,0.6656480215947508,0.4389232642821624,0.6656480215947508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321014,NAR,CJF_1,CJF,1,R,R-NAR041321014,5,1.0481380611686022,0.47701526614462936,0.6900792690196181,0.8272188951766897,0.9394154906139769,1.0481380611686022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321015,NAR,CJF_1,CJF,1,R,R-NAR041321015,5,1.0084939733685792,0.5259895822878771,0.6919795162085027,0.8235634218969664,0.9209594249207592,1.0084939733685792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321016,NAR,CJF_1,CJF,1,R,R-NAR041321016,2,0.8469320363471348,0.6252947205803656,0.8469320363471348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321017,NAR,CJF_1,CJF,1,R,R-NAR041321017,7,1.183346671022116,0.40306269951105245,0.5582508490517438,0.7175266499238038,0.9039593978297331,0.9815087851239486,1.103012599538815,1.183346671022116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321018,NAR,CJF_1,CJF,1,R,R-NAR041321018,7,1.33939377746633,0.41221525481338395,0.6807217595118379,0.8566673492462942,0.9971311809152688,1.1036826275317306,1.2360872492958235,1.33939377746633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321019,NAR,CJF_1,CJF,1,R,R-NAR041321019,8,1.5290617267887394,0.5019259782152575,0.7242503414718671,0.9005398225313304,1.0340208827733826,1.1905193841140076,1.3002844407726606,1.4416155487438331,1.5290617267887394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321020,NAR,CJF_1,CJF,1,R,R-NAR041321020,5,1.0580836275843746,0.48653539282885055,0.6789894101059704,0.8019513764414923,0.9258313138942518,1.0580836275843746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321021,NAR,CJF_1,CJF,1,R,R-NAR041321021,7,1.2928667231644049,0.4397351181005986,0.6992943805855318,0.8618100774533419,0.967835329428785,1.0782158924710732,1.2042305657121872,1.2928667231644049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
NAR041321022,NAR,CJF_1,CJF,1,R,R-NAR041321022,12,1.5436433643730123,0.4596800182546657,0.652037553252578,0.7674147255740228,0.8563501582205696,0.9666641310725314,1.0896361025982,1.1754303784996343,1.2599121686870687,1.350676272364729,1.4149986363674902,1.4963392698098121,1.5436433643730123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,041321,2021-04-13
