fishid,id,light_type,reading,rep,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,waterbody
NAR061119008,R-NAR061119008,R,MJS_1,1,13,1.6031553825513238,0.6637479731968735,0.7674318319588136,0.898182270954352,0.9739686956084304,1.045589503456517,1.1209590827441291,1.1796718685251153,1.2412997350126949,1.2954328954798935,1.3437358945339062,1.4049469156550194,1.4611614660958785,1.533615964676898,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119009,R-NAR061119009,R,CJF_1,1,5,1.057711443311133,0.4698028755754446,0.6762567758222839,0.8329086807932735,0.9479311564692726,1.057711443311133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119009,R-NAR061119009,R,CJF_2,2,5,1.1356769757310754,0.5398066571511646,0.743058873417157,0.8960695233309075,1.0273878545448794,1.1356769757310754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119009,R-NAR061119009,R,CJF_3,3,5,1.0033667703230316,0.41647218089533417,0.6068143740947822,0.7480983381352857,0.8583940377981577,1.0033667703230316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119009,R-NAR061119009,R,LEL_1,1,3,0.9847552147909981,0.6083345748858509,0.756520253245721,0.8673362736779829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119009,R-NAR061119009,R,LSR_1,1,3,1.0845845892038786,0.6840416944353437,0.848602921349562,0.9707484765184378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119009,R-NAR061119009,R,MJS_1,1,3,1.1344652886653983,0.7216663632074009,0.894265963814441,1.0163633332553736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119010,R-NAR061119010,R,CJF_1,1,7,1.1763066498576227,0.44540051402805475,0.7140080762456213,0.8434265069532894,0.9618863437284415,1.0528041507832808,1.1147009452094743,1.1763066498576227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119010,R-NAR061119010,R,CJF_2,2,7,1.1558413624265027,0.48826710769367254,0.6848400553452425,0.8247310404215364,0.9405307772447932,1.0424644998833188,1.0998823809174587,1.1558413624265027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119010,R-NAR061119010,R,CJF_3,3,7,1.159846244534263,0.4761144334820847,0.7036346107969422,0.8281269520651569,0.962395224966727,1.0609353940386799,1.099668439148472,1.159846244534263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119011,R-NAR061119011,R,CJF_1,1,6,1.1949358801375418,0.32822809863995644,0.6006591105463872,0.7744572946744747,0.9374543573953081,1.0876621552333945,1.1949358801375418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119011,R-NAR061119011,R,CJF_2,2,6,1.2375306735085931,0.3585281491153735,0.6507527510417721,0.840234621903894,1.0001147452169181,1.125133735853904,1.2375306735085931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119011,R-NAR061119011,R,CJF_3,3,6,1.3159202224058393,0.3949228066913828,0.7053614946049769,0.897526005215976,1.0699613721187444,1.2122572348059357,1.3159202224058393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119012,R-NAR061119012,R,CJF_1,1,6,1.2267939305936413,0.5301870702022808,0.7316736585081004,0.8764961053980042,1.0062304736748406,1.1164370478933499,1.2267939305936413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119012,R-NAR061119012,R,CJF_2,2,6,1.2476545977734759,0.5327485922721623,0.7275978959595442,0.8881435997773954,1.0138698252471874,1.1245022460276384,1.2476545977734759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR061119012,R-NAR061119012,R,CJF_3,3,6,1.2801475099514847,0.5653478500576468,0.7760731577880677,0.9293436949207845,1.0458154301758824,1.1577740989573109,1.2801475099514847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
