fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,rad22,rad23,rad24
RGR040919012,RGR,CJF_1,CJF,1,R,R-RGR040919012,8,1.2411922194724907,0.4030881489443905,0.5900758675118011,0.7401470941217551,0.8637603191665506,0.9501363510832054,1.0308822613403568,1.1460503038958965,1.2411922194724907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RGR040919013,RGR,CJF_1,CJF,1,R,R-RGR040919013,5,1.0757436487462355,0.44801157348206855,0.6789120015310358,0.8205884801273551,0.9714464284033332,1.0757436487462355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RGR040919014,RGR,CJF_1,CJF,1,R,R-RGR040919014,5,1.1152145270605323,0.47652533717296974,0.725231998387237,0.8505790884059552,0.9891125634587183,1.1152145270605323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RGR040919015,RGR,CJF_1,CJF,1,R,R-RGR040919015,8,1.390562915344718,0.504233891834547,0.7896620883730812,0.9346620238063965,1.041125670945017,1.1502027714649898,1.238377852201953,1.3017335367177811,1.390562915344718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RGR040919016,RGR,CJF_1,CJF,1,R,R-RGR040919016,8,1.38118042121266,0.557352033840236,0.752537171411534,0.8832698555615501,1.0030184982609502,1.1171526891610153,1.2209063051776434,1.2853587585989261,1.38118042121266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RGR040919017,RGR,CJF_1,CJF,1,R,R-RGR040919017,7,1.0979742448833316,0.44848299774360184,0.6911371773189928,0.8331895604138,0.9040109567382257,0.9623618890285521,0.9999875280117672,1.0979742448833316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RGR040919018,RGR,CJF_1,CJF,1,R,R-RGR040919018,9,1.4266831647075489,0.5186306055743247,0.6699848561274332,0.7269209799766129,0.8814924297250891,0.9982070807889301,1.0813285382163607,1.1936286584097506,1.2831845142279148,1.4266831647075489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RGR040919019,RGR,CJF_1,CJF,1,R,R-RGR040919019,8,1.392406925359513,0.5100789846056017,0.7267652085789492,0.857434841400043,0.981915626540379,1.1081865105897657,1.184143350610486,1.3007981861628513,1.392406925359513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RGR040919020,RGR,CJF_1,CJF,1,R,R-RGR040919020,8,1.4240515212968476,0.5093656208013154,0.7253027737997084,0.8726011647974756,1.0108811387092924,1.1262815252875673,1.2268182917076853,1.3325331719626805,1.4240515212968476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RGR040919022,RGR,CJF_1,CJF,1,R,R-RGR040919022,8,1.2567635373462425,0.4454633369282059,0.6501025585782773,0.7793810475653209,0.8912044874225556,0.9726613833616642,1.0670297740890895,1.1578515922773251,1.2567635373462425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RGR041019001,RGR,CJF_1,CJF,1,R,R-RGR041019001,8,1.331348552749388,0.5429771614371668,0.686296903013287,0.8151997721793502,0.9311778042609156,1.049554652531098,1.1377255970474005,1.2259205168420626,1.331348552749388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
