fishid,waterbody,reading,reader,rep,light_type,id,agecap,ann,rad,radcap
RGR040919010,RGR,CJF_1,CJF,1,R,R-RGR040919010,5,2,0.7378866869798604,1.1669070891878663
RGR040919010,RGR,CJF_1,CJF,1,R,R-RGR040919010,5,3,0.8902541110848868,1.1669070891878663
RGR040919010,RGR,CJF_1,CJF,1,R,R-RGR040919010,5,4,1.0311852102930696,1.1669070891878663
RGR040919010,RGR,CJF_1,CJF,1,R,R-RGR040919010,5,5,1.1669070891878663,1.1669070891878663
RGR040919011,RGR,CJF_1,CJF,1,R,R-RGR040919011,5,1,0.5036094310623292,1.258502507689883
RGR040919011,RGR,CJF_1,CJF,1,R,R-RGR040919011,5,2,0.7514470034456608,1.258502507689883
RGR040919011,RGR,CJF_1,CJF,1,R,R-RGR040919011,5,3,0.9453493715437096,1.258502507689883
RGR040919011,RGR,CJF_1,CJF,1,R,R-RGR040919011,5,4,1.0853165353564749,1.258502507689883
RGR040919011,RGR,CJF_1,CJF,1,R,R-RGR040919011,5,5,1.258502507689883,1.258502507689883
RGR040919012,RGR,CJF_1,CJF,1,R,R-RGR040919012,8,1,0.4030881489443905,1.2411922194724907
RGR040919012,RGR,CJF_1,CJF,1,R,R-RGR040919012,8,2,0.5900758675118011,1.2411922194724907
RGR040919012,RGR,CJF_1,CJF,1,R,R-RGR040919012,8,3,0.7401470941217551,1.2411922194724907
RGR040919012,RGR,CJF_1,CJF,1,R,R-RGR040919012,8,4,0.8637603191665506,1.2411922194724907
RGR040919012,RGR,CJF_1,CJF,1,R,R-RGR040919012,8,5,0.9501363510832054,1.2411922194724907
RGR040919012,RGR,CJF_1,CJF,1,R,R-RGR040919012,8,6,1.0308822613403568,1.2411922194724907
RGR040919012,RGR,CJF_1,CJF,1,R,R-RGR040919012,8,7,1.1460503038958965,1.2411922194724907
RGR040919012,RGR,CJF_1,CJF,1,R,R-RGR040919012,8,8,1.2411922194724907,1.2411922194724907
RGR040919013,RGR,CJF_1,CJF,1,R,R-RGR040919013,5,1,0.44801157348206855,1.0757436487462355
RGR040919013,RGR,CJF_1,CJF,1,R,R-RGR040919013,5,2,0.6789120015310358,1.0757436487462355
RGR040919013,RGR,CJF_1,CJF,1,R,R-RGR040919013,5,3,0.8205884801273551,1.0757436487462355
RGR040919013,RGR,CJF_1,CJF,1,R,R-RGR040919013,5,4,0.9714464284033332,1.0757436487462355
RGR040919013,RGR,CJF_1,CJF,1,R,R-RGR040919013,5,5,1.0757436487462355,1.0757436487462355
RGR040919014,RGR,CJF_1,CJF,1,R,R-RGR040919014,5,1,0.47652533717296974,1.1152145270605323
RGR040919014,RGR,CJF_1,CJF,1,R,R-RGR040919014,5,2,0.725231998387237,1.1152145270605323
RGR040919014,RGR,CJF_1,CJF,1,R,R-RGR040919014,5,3,0.8505790884059552,1.1152145270605323
RGR040919014,RGR,CJF_1,CJF,1,R,R-RGR040919014,5,4,0.9891125634587183,1.1152145270605323
RGR040919014,RGR,CJF_1,CJF,1,R,R-RGR040919014,5,5,1.1152145270605323,1.1152145270605323
RGR040919015,RGR,CJF_1,CJF,1,R,R-RGR040919015,8,1,0.504233891834547,1.390562915344718
RGR040919015,RGR,CJF_1,CJF,1,R,R-RGR040919015,8,2,0.7896620883730812,1.390562915344718
RGR040919015,RGR,CJF_1,CJF,1,R,R-RGR040919015,8,3,0.9346620238063965,1.390562915344718
RGR040919015,RGR,CJF_1,CJF,1,R,R-RGR040919015,8,4,1.041125670945017,1.390562915344718
RGR040919015,RGR,CJF_1,CJF,1,R,R-RGR040919015,8,5,1.1502027714649898,1.390562915344718
RGR040919015,RGR,CJF_1,CJF,1,R,R-RGR040919015,8,6,1.238377852201953,1.390562915344718
RGR040919015,RGR,CJF_1,CJF,1,R,R-RGR040919015,8,7,1.3017335367177811,1.390562915344718
RGR040919015,RGR,CJF_1,CJF,1,R,R-RGR040919015,8,8,1.390562915344718,1.390562915344718
RGR040919016,RGR,CJF_1,CJF,1,R,R-RGR040919016,8,1,0.557352033840236,1.38118042121266
RGR040919016,RGR,CJF_1,CJF,1,R,R-RGR040919016,8,2,0.752537171411534,1.38118042121266
RGR040919016,RGR,CJF_1,CJF,1,R,R-RGR040919016,8,3,0.8832698555615501,1.38118042121266
RGR040919016,RGR,CJF_1,CJF,1,R,R-RGR040919016,8,4,1.0030184982609502,1.38118042121266
RGR040919016,RGR,CJF_1,CJF,1,R,R-RGR040919016,8,5,1.1171526891610153,1.38118042121266
RGR040919016,RGR,CJF_1,CJF,1,R,R-RGR040919016,8,6,1.2209063051776434,1.38118042121266
RGR040919016,RGR,CJF_1,CJF,1,R,R-RGR040919016,8,7,1.2853587585989261,1.38118042121266
RGR040919016,RGR,CJF_1,CJF,1,R,R-RGR040919016,8,8,1.38118042121266,1.38118042121266
RGR040919017,RGR,CJF_1,CJF,1,R,R-RGR040919017,7,1,0.44848299774360184,1.0979742448833316
RGR040919017,RGR,CJF_1,CJF,1,R,R-RGR040919017,7,2,0.6911371773189928,1.0979742448833316
RGR040919017,RGR,CJF_1,CJF,1,R,R-RGR040919017,7,3,0.8331895604138,1.0979742448833316
RGR040919017,RGR,CJF_1,CJF,1,R,R-RGR040919017,7,4,0.9040109567382257,1.0979742448833316
RGR040919017,RGR,CJF_1,CJF,1,R,R-RGR040919017,7,5,0.9623618890285521,1.0979742448833316
RGR040919017,RGR,CJF_1,CJF,1,R,R-RGR040919017,7,6,0.9999875280117672,1.0979742448833316
RGR040919017,RGR,CJF_1,CJF,1,R,R-RGR040919017,7,7,1.0979742448833316,1.0979742448833316
RGR040919018,RGR,CJF_1,CJF,1,R,R-RGR040919018,9,1,0.5186306055743247,1.4266831647075489
RGR040919018,RGR,CJF_1,CJF,1,R,R-RGR040919018,9,2,0.6699848561274332,1.4266831647075489
RGR040919018,RGR,CJF_1,CJF,1,R,R-RGR040919018,9,3,0.7269209799766129,1.4266831647075489
RGR040919018,RGR,CJF_1,CJF,1,R,R-RGR040919018,9,4,0.8814924297250891,1.4266831647075489
RGR040919018,RGR,CJF_1,CJF,1,R,R-RGR040919018,9,5,0.9982070807889301,1.4266831647075489
RGR040919018,RGR,CJF_1,CJF,1,R,R-RGR040919018,9,6,1.0813285382163607,1.4266831647075489
RGR040919018,RGR,CJF_1,CJF,1,R,R-RGR040919018,9,7,1.1936286584097506,1.4266831647075489
RGR040919018,RGR,CJF_1,CJF,1,R,R-RGR040919018,9,8,1.2831845142279148,1.4266831647075489
RGR040919018,RGR,CJF_1,CJF,1,R,R-RGR040919018,9,9,1.4266831647075489,1.4266831647075489
RGR040919019,RGR,CJF_1,CJF,1,R,R-RGR040919019,8,1,0.5100789846056017,1.392406925359513
RGR040919019,RGR,CJF_1,CJF,1,R,R-RGR040919019,8,2,0.7267652085789492,1.392406925359513
RGR040919019,RGR,CJF_1,CJF,1,R,R-RGR040919019,8,3,0.857434841400043,1.392406925359513
RGR040919019,RGR,CJF_1,CJF,1,R,R-RGR040919019,8,4,0.981915626540379,1.392406925359513
RGR040919019,RGR,CJF_1,CJF,1,R,R-RGR040919019,8,5,1.1081865105897657,1.392406925359513
RGR040919019,RGR,CJF_1,CJF,1,R,R-RGR040919019,8,6,1.184143350610486,1.392406925359513
RGR040919019,RGR,CJF_1,CJF,1,R,R-RGR040919019,8,7,1.3007981861628513,1.392406925359513
RGR040919019,RGR,CJF_1,CJF,1,R,R-RGR040919019,8,8,1.392406925359513,1.392406925359513
RGR040919020,RGR,CJF_1,CJF,1,R,R-RGR040919020,8,1,0.5093656208013154,1.4240515212968476
RGR040919020,RGR,CJF_1,CJF,1,R,R-RGR040919020,8,2,0.7253027737997084,1.4240515212968476
RGR040919020,RGR,CJF_1,CJF,1,R,R-RGR040919020,8,3,0.8726011647974756,1.4240515212968476
RGR040919020,RGR,CJF_1,CJF,1,R,R-RGR040919020,8,4,1.0108811387092924,1.4240515212968476
RGR040919020,RGR,CJF_1,CJF,1,R,R-RGR040919020,8,5,1.1262815252875673,1.4240515212968476
RGR040919020,RGR,CJF_1,CJF,1,R,R-RGR040919020,8,6,1.2268182917076853,1.4240515212968476
RGR040919020,RGR,CJF_1,CJF,1,R,R-RGR040919020,8,7,1.3325331719626805,1.4240515212968476
RGR040919020,RGR,CJF_1,CJF,1,R,R-RGR040919020,8,8,1.4240515212968476,1.4240515212968476
RGR040919022,RGR,CJF_1,CJF,1,R,R-RGR040919022,8,1,0.4454633369282059,1.2567635373462425
RGR040919022,RGR,CJF_1,CJF,1,R,R-RGR040919022,8,2,0.6501025585782773,1.2567635373462425
RGR040919022,RGR,CJF_1,CJF,1,R,R-RGR040919022,8,3,0.7793810475653209,1.2567635373462425
RGR040919022,RGR,CJF_1,CJF,1,R,R-RGR040919022,8,4,0.8912044874225556,1.2567635373462425
RGR040919022,RGR,CJF_1,CJF,1,R,R-RGR040919022,8,5,0.9726613833616642,1.2567635373462425
RGR040919022,RGR,CJF_1,CJF,1,R,R-RGR040919022,8,6,1.0670297740890895,1.2567635373462425
RGR040919022,RGR,CJF_1,CJF,1,R,R-RGR040919022,8,7,1.1578515922773251,1.2567635373462425
RGR040919022,RGR,CJF_1,CJF,1,R,R-RGR040919022,8,8,1.2567635373462425,1.2567635373462425
RGR041019001,RGR,CJF_1,CJF,1,R,R-RGR041019001,8,1,0.5429771614371668,1.331348552749388
RGR041019001,RGR,CJF_1,CJF,1,R,R-RGR041019001,8,2,0.686296903013287,1.331348552749388
RGR041019001,RGR,CJF_1,CJF,1,R,R-RGR041019001,8,3,0.8151997721793502,1.331348552749388
RGR041019001,RGR,CJF_1,CJF,1,R,R-RGR041019001,8,4,0.9311778042609156,1.331348552749388
RGR041019001,RGR,CJF_1,CJF,1,R,R-RGR041019001,8,5,1.049554652531098,1.331348552749388
RGR041019001,RGR,CJF_1,CJF,1,R,R-RGR041019001,8,6,1.1377255970474005,1.331348552749388
RGR041019001,RGR,CJF_1,CJF,1,R,R-RGR041019001,8,7,1.2259205168420626,1.331348552749388
RGR041019001,RGR,CJF_1,CJF,1,R,R-RGR041019001,8,8,1.331348552749388,1.331348552749388
RGR041019003,RGR,CJF_1,CJF,1,R,R-RGR041019003,5,1,0.5081353511479473,1.1657569455932144
RGR041019003,RGR,CJF_1,CJF,1,R,R-RGR041019003,5,2,0.7715827531976713,1.1657569455932144
RGR041019003,RGR,CJF_1,CJF,1,R,R-RGR041019003,5,3,0.9060268809192841,1.1657569455932144
RGR041019003,RGR,CJF_1,CJF,1,R,R-RGR041019003,5,4,1.0339224767151252,1.1657569455932144
RGR041019003,RGR,CJF_1,CJF,1,R,R-RGR041019003,5,5,1.1657569455932144,1.1657569455932144
RGR041019004,RGR,CJF_1,CJF,1,R,R-RGR041019004,5,1,0.34809035511949615,0.8251389262653274
RGR041019004,RGR,CJF_1,CJF,1,R,R-RGR041019004,5,2,0.4929081585969005,0.8251389262653274
RGR041019004,RGR,CJF_1,CJF,1,R,R-RGR041019004,5,3,0.6207230453138416,0.8251389262653274
RGR041019004,RGR,CJF_1,CJF,1,R,R-RGR041019004,5,4,0.7106918261796599,0.8251389262653274
RGR041019004,RGR,CJF_1,CJF,1,R,R-RGR041019004,5,5,0.8251389262653274,0.8251389262653274
RGR041019005,RGR,CJF_1,CJF,1,R,R-RGR041019005,5,1,0.40826414193479693,1.0067502569792701
RGR041019005,RGR,CJF_1,CJF,1,R,R-RGR041019005,5,2,0.6168767516175779,1.0067502569792701
RGR041019005,RGR,CJF_1,CJF,1,R,R-RGR041019005,5,3,0.7697512785331005,1.0067502569792701
RGR041019005,RGR,CJF_1,CJF,1,R,R-RGR041019005,5,4,0.8975876293047235,1.0067502569792701
RGR041019005,RGR,CJF_1,CJF,1,R,R-RGR041019005,5,5,1.0067502569792701,1.0067502569792701
RGR041019006,RGR,CJF_1,CJF,1,R,R-RGR041019006,8,1,0.4738905464766835,1.4102249440698784
RGR041019006,RGR,CJF_1,CJF,1,R,R-RGR041019006,8,2,0.681667328579432,1.4102249440698784
RGR041019006,RGR,CJF_1,CJF,1,R,R-RGR041019006,8,3,0.8338308640672454,1.4102249440698784
RGR041019006,RGR,CJF_1,CJF,1,R,R-RGR041019006,8,4,0.9655028887287882,1.4102249440698784
RGR041019006,RGR,CJF_1,CJF,1,R,R-RGR041019006,8,5,1.0765914437748672,1.4102249440698784
RGR041019006,RGR,CJF_1,CJF,1,R,R-RGR041019006,8,6,1.1790030185116234,1.4102249440698784
RGR041019006,RGR,CJF_1,CJF,1,R,R-RGR041019006,8,7,1.299090409629203,1.4102249440698784
RGR041019006,RGR,CJF_1,CJF,1,R,R-RGR041019006,8,8,1.4102249440698784,1.4102249440698784
RGR041019007,RGR,CJF_1,CJF,1,R,R-RGR041019007,8,1,0.3177826809572176,1.2877714100709339
RGR041019007,RGR,CJF_1,CJF,1,R,R-RGR041019007,8,2,0.5611519490433743,1.2877714100709339
RGR041019007,RGR,CJF_1,CJF,1,R,R-RGR041019007,8,3,0.6916630771899533,1.2877714100709339
RGR041019007,RGR,CJF_1,CJF,1,R,R-RGR041019007,8,4,0.8344890426709434,1.2877714100709339
RGR041019007,RGR,CJF_1,CJF,1,R,R-RGR041019007,8,5,0.9386954847952178,1.2877714100709339
RGR041019007,RGR,CJF_1,CJF,1,R,R-RGR041019007,8,6,1.0455649230617468,1.2877714100709339
RGR041019007,RGR,CJF_1,CJF,1,R,R-RGR041019007,8,7,1.1434452295246613,1.2877714100709339
RGR041019007,RGR,CJF_1,CJF,1,R,R-RGR041019007,8,8,1.2877714100709339,1.2877714100709339
RGR041019008,RGR,CJF_1,CJF,1,R,R-RGR041019008,8,1,0.4615615693120456,1.2673197319734257
