fishid,tisuetype,boat,tissue+bag,pin+paper,final tissue + boat,final bag,final pin,final paper,wet paper,wet tissue,dry tissue
NAR032519003,gonad,1.31,10.74,0.19,2.62,3.29,0.1,0.06,0.13,7.32,1.31
NAR032519004,gonad,1.32,14.75,0.26,4,3.31,0.11,0.08,0.18,11.26,2.68
NAR032519005,gonad,1.32,19.32,0.23,4.49,3.32,0.11,0.08,0.15,15.85,3.17
NAR032519006,gonad,8.02,30.67,0.21,13,3.33,0.05,0.11,0.1,27.24,4.98
NAR032519007,gonad,1.31,14.26,0.24,3.53,3.36,0.11,0.08,0.16,10.74,2.22
NAR032519008,gonad,1.31,12.62,0.35,3.16,3.31,0.1,0.1,0.25,9.06,1.85
NAR032519009,gonad,1.3,20.99,0.49,4.77,3.31,0.11,0.11,0.38,17.3,3.47
NAR032519010,gonad,1.3,15.55,0.24,3.69,3.29,0.11,0.07,0.17,12.09,2.39
NAR032519011,gonad,1.31,20.79,0.26,4.62,3.3,0.11,0.08,0.18,17.31,3.31
NAR032519012,gonad,1.3,25.5,0.22,5.79,3.26,0.1,0.09,0.13,22.11,4.49
NAR032519013,gonad,1.32,16.6,0.2,3.82,3.3,0.11,0.06,0.14,13.16,2.5
NAR032519014,gonad,1.31,7.52,0.22,1.86,3.32,0.11,0.07,0.15,4.05,0.55
NAR032619001,gonad,1.29,6.41,0.19,1.29,3.26,0.13,0.08,0.11,3.04,0
NAR032619002,gonad,1.31,10.65,0.21,2.45,3.35,0.1,0.07,0.14,7.16,1.14
NAR032619003,gonad,1.3,6.3,0.15,1.67,3.28,0.11,0.03,0.12,2.9,0.37
NAR032619004,gonad,1.3,6.31,0.28,1.71,3.3,0.11,0.09,0.19,2.82,0.41
NAR032619005,gonad,1.3,6.8,0.22,1.87,3.76,0.11,0.06,0.16,2.88,0.57
NAR032619006,gonad,1.31,4.52,0.21,1.46,3.26,0.11,0.06,0.15,1.11,0.15
NAR032619007,gonad,1.31,13.86,0.26,3.01,3.49,0.11,0.07,0.19,10.18,1.7
NAR032619008,gonad,1.31,16.18,0.32,3.88,3.31,0.09,0.11,0.21,12.66,2.57
NAR032619009,gonad,1.31,12.63,0.23,3.02,3.45,0.11,0.09,0.14,9.04,1.71
NAR032619010,gonad,1.33,14.3,0.23,3.18,3.26,0.11,0.06,0.17,10.87,1.85
NAR032619011,gonad,1.31,17.76,0.23,4.06,3.36,0.1,0.07,0.16,14.24,2.75
NAR032619012,gonad,1.31,17.04,0.57,3.55,3.39,0.11,0.08,0.49,13.16,2.24
NAR032619013,gonad,1.31,4.06,0.19,1.44,3.26,0.11,0.07,0.12,0.68,0.13
NAR032619014,gonad,7.97,113.73,0.24,52.96,3.33,0.11,0.1,0.14,110.26,44.99
NAR032619015,gonad,1.32,14.27,0.26,4.44,3.26,0.11,0.08,0.18,10.83,3.12
NAR032619016,gonad,1.3,4.27,0.18,1.4,3.23,0.11,0.06,0.12,0.92,0.1
NAR032619017,gonad,1.31,15.04,0.34,3.4,3.25,0.11,0.13,0.21,11.58,2.09
NAR032619018,gonad,1.31,3.48,0.24,1.37,3.3,0.1,0.1,0.14,0.04,0.06
NAR032719001,gonad,1.3,17.96,0.29,4.17,3.29,0.11,0.12,0.17,14.5,2.87
NAR032719002,gonad,1.31,17.8,0.39,4.31,3.32,0.11,0.16,0.23,14.25,3
NAR032719003,gonad,1.32,13.97,0.35,3.17,3.34,0.11,0.15,0.2,10.43,1.85
NAR032719004,gonad,1.3,4.13,0.33,1.38,3.23,0.1,0.16,0.17,0.73,0.08
NAR032719005,gonad,1.32,13.8,0.25,3.06,3.31,0.11,0.07,0.18,10.31,1.74
NAR032719006,gonad,1.33,12.29,0.51,2.65,3.36,0.1,0.07,0.44,8.49,1.32
NAR032719007,gonad,1.31,17.51,0.2,4.01,3.25,0.1,0.07,0.13,14.13,2.7
NAR032719008,gonad,1.3,16.41,0.22,3.54,3.36,0.11,0.06,0.16,12.89,2.24
NAR032719009,gonad,1.31,16.09,0.21,3.91,3.31,0.1,0.07,0.14,12.64,2.6
NAR032719010,gonad,1.32,9.23,0.22,2.3,3.35,0.11,0.06,0.16,5.72,0.98
NAR032719011,gonad,1.3,13.75,0.23,2.61,3.34,0.12,0.07,0.16,10.25,1.31
NAR032719012,gonad,1.31,18.11,0.2,3.72,3.25,0.11,0.05,0.15,14.71,2.41
NAR032719013,gonad,1.31,11.73,0.2,2.96,3.31,0.11,0.06,0.14,8.28,1.65
NAR032719014,gonad,1.32,16.73,0.29,3.96,3.35,0.11,0.08,0.21,13.17,2.64
NAR032719015,gonad,1.31,16.3,0.22,3.7,3.3,0.11,0.07,0.15,12.85,2.39
NAR032819001,gonad,7.99,99.71,0.24,41.38,3.28,0.11,0.07,0.17,96.26,33.39
NAR032819002,gonad,1.31,16.87,0.31,3.97,3.29,0.1,0.08,0.23,13.35,2.66
NAR032819003,gonad,1.3,39,0.26,14.67,3.29,0.09,0.1,0.16,35.55,13.37
NAR032819004,gonad,1.31,21.4,0.21,4.73,3.29,0.11,0.06,0.15,17.96,3.42
NAR032819005,gonad,1.3,14.5,0.43,3.28,3.29,0.1,0.12,0.31,10.9,1.98
NAR032819006,gonad,1.3,3.33,0.16,1.3,3.26,0.11,0.04,0.12,-0.05,0
NAR032819007,gonad,1.3,5.2,0.25,1.48,3.3,0.11,0.07,0.18,1.72,0.18
NAR032919001,gonad,1.31,4.74,0.18,1.47,3.32,0.12,0.05,0.13,1.29,0.16
NAR032919002,gonad,1.29,11.33,0.42,2.3,3.39,0.11,0.1,0.32,7.62,1.01
NAR032919003,gonad,1.3,15.78,0.25,3.52,3.38,0.12,0.1,0.15,12.25,2.22
NAR032919004,gonad,1.3,15.81,0.25,3.49,3.37,0.1,0.09,0.16,12.28,2.19
NAR032919005,gonad,1.31,9.48,0.23,2.15,3.36,0.11,0.06,0.17,5.95,0.84
NAR032919006,gonad,1.3,3.23,0.19,1.33,3.3,0.12,0.08,0.11,-0.18,0.03
NAR032919007,gonad,1.31,3.78,0.18,1.38,3.29,0.11,0.06,0.12,0.37,0.07
NAR032919008,gonad,1.32,13.49,0.2,3.35,3.29,0.1,0.07,0.13,10.07,2.03
NAR032919009,gonad,1.3,4.21,0.19,1.43,3.28,0.1,0.06,0.13,0.8,0.13
NAR032919010,gonad,1.3,13.77,0.2,3.27,3.29,0.1,0.06,0.14,10.34,1.97
NAR032919011,gonad,1.31,18.78,0.23,4.28,3.4,0.1,0.06,0.17,15.21,2.97
NAR032919012,gonad,1.32,18.61,0.34,3.91,3.33,0.11,0.08,0.26,15.02,2.59
NAR032919013,gonad,1.31,23.99,0.26,4.69,3.27,0.1,0.07,0.19,20.53,3.38
NAR032919014,gonad,7.89,116.19,0.23,52.88,3.31,0.11,0.12,0.11,112.77,44.99
NAR032919015,gonad,1.31,15.56,0.2,3.71,3.31,0.11,0.06,0.14,12.11,2.4
NAR032919016,gonad,1.31,21.68,0.25,5.04,3.28,0.1,0.12,0.13,18.27,3.73
NAR032919017,gonad,1.32,14.69,0.18,3.81,3.26,0.11,0.07,0.11,11.32,2.49
NAR032919018,gonad,1.31,20.65,0.21,4.6,2.36,0.1,0.09,0.12,18.17,3.29
NAR032919019,gonad,1.3,7.08,0.24,1.8,3.25,0.1,0.07,0.17,3.66,0.5
NAR032919020,gonad,1.31,22.72,0.28,4.88,3.29,0.11,0.08,0.2,19.23,3.57
NAR032919021,gonad,1.31,21.33,0.19,4.91,3.29,0.1,0.08,0.11,17.93,3.6
NAR032919022,gonad,1.31,20.26,0.21,3.9,3.29,0.1,0.07,0.14,16.83,2.59
NAR032919023,gonad,1.31,18.88,0.22,4.12,3.31,0.1,0.07,0.15,15.42,2.81
NAR032919024,gonad,8.1,252,0.26,90.12,3.36,0.1,0.07,0.19,248.45,82.02
NAR032919025,gonad,1.31,6.65,0.17,1.75,3.26,0.11,0.06,0.11,3.28,0.44
NAR033019001,gonad,1.3,13.25,0.22,3.12,3.3,0.11,0.07,0.15,9.8,1.82
NAR033019002,gonad,8.03,73.22,0.22,35.2,3.3,0.11,0.08,0.14,69.78,27.17
NAR033019003,gonad,1.32,4.92,0.18,1.62,3.25,0.11,0.05,0.13,1.54,0.3
NAR033019004,gonad,8.06,104.93,0.2,50.07,3.31,0.1,0.06,0.14,101.48,42.01
