fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,rad22,rad23
ANX091818A011,ANX,LEL_1,LEL,1,R,R-ANX091818A011,4,1.181342164289953,0.5897749651800602,0.7530842639734052,0.9437024511862457,1.0789234610900131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A011,ANX,LSR_1,LSR,1,R,R-ANX091818A011,4,0.6475189866010878,0.252833859356427,0.40742489434575,0.5047488906024514,0.5838614265771588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A011,ANX,MJS_1,MJS,1,R,R-ANX091818A011,4,1.0192210210035644,0.6267989102775606,0.8030802212484104,0.9213789640238117,1.0192210210035644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A011,ANX,NGA_1,NGA,1,R,R-ANX091818A011,3,1.1644556369443149,0.7147769133908031,0.9074008555223871,1.0280519817528488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A012,ANX,CJF_1,CJF,1,R,R-ANX091818A012,2,0.7071633248633091,0.4106236339759943,0.571794660318216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A012,ANX,LEL_1,LEL,1,R,R-ANX091818A012,2,0.6284120399594417,0.3832404034602979,0.5474422094914828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A012,ANX,LSR_1,LSR,1,R,R-ANX091818A012,2,0.5811188476071378,0.4692185005843195,0.5438187319328648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A012,ANX,MJS_1,MJS,1,R,R-ANX091818A012,3,0.5701749971473352,0.28991866315625797,0.44507026546673323,0.5701749971473352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A012,ANX,NGA_1,NGA,1,R,R-ANX091818A012,2,0.7907785636089053,0.523564828368367,0.6784998709460628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A013,ANX,CJF_1,CJF,1,R,R-ANX091818A013,2,0.8505698106640731,0.5311931480814839,0.7419430976979863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
