fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,rad22,rad23,rad24
ANX091818A046,ANX,CJF_1,CJF,1,R,R-ANX091818A046,2,0.7485457359349444,0.44269090783479437,0.6298372981607774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A047,ANX,CJF_1,CJF,1,R,R-ANX091818A047,2,0.8426221384398368,0.49912444968035546,0.7137466099936252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A048,ANX,CJF_1,CJF,1,R,R-ANX091818A048,1,0.6459899147530448,0.4300746675478674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A049,ANX,CJF_1,CJF,1,R,R-ANX091818A049,1,0.6673509704623071,0.47285646570871764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A051,ANX,CJF_1,CJF,1,R,R-ANX091818A051,2,0.7236994085537707,0.3778954268407098,0.5861513311984953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A052,ANX,CJF_1,CJF,1,R,R-ANX091818A052,4,1.3545713051654888,0.5397580057050153,0.8316196734975116,1.0442589933492727,1.219753544210687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A053,ANX,CJF_1,CJF,1,R,R-ANX091818A053,4,1.1488369594012715,0.5933754020391786,0.8173371228004623,0.9449816199316018,1.052136582786772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A054,ANX,CJF_1,CJF,1,R,R-ANX091818A054,1,0.6016506923312102,0.42908120327745103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A055,ANX,CJF_1,CJF,1,R,R-ANX091818A055,1,0.5770155705344844,0.4004075022700378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A056,ANX,CJF_1,CJF,1,R,R-ANX091818A056,1,0.7578612806782505,0.5375915298187047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A057,ANX,CJF_1,CJF,1,R,R-ANX091818A057,2,0.8022366510886816,0.49549813857401637,0.6730853279954422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A058,ANX,CJF_1,CJF,1,R,R-ANX091818A058,2,0.8412538165670986,0.5222536502450424,0.7133833100121328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A060,ANX,CJF_1,CJF,1,R,R-ANX091818A060,1,0.7520609127338501,0.5226707797068534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A061,ANX,CJF_1,CJF,1,R,R-ANX091818A061,2,0.7737057112244314,0.43401573754728956,0.6384859123864508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A062,ANX,CJF_1,CJF,1,R,R-ANX091818A062,2,0.9269774838209495,0.5785236491985543,0.8040103235128802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A063,ANX,CJF_1,CJF,1,R,R-ANX091818A063,2,0.7776367305473555,0.38198825567114497,0.6252517400336973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A064,ANX,CJF_1,CJF,1,R,R-ANX091818A064,1,0.7370481771853659,0.522951818355846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A065,ANX,CJF_1,CJF,1,R,R-ANX091818A065,2,0.7838767442348915,0.4344468057335593,0.6597737142832469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A066,ANX,CJF_1,CJF,1,R,R-ANX091818A066,1,0.7251495149419389,0.5134570974450782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A067,ANX,CJF_1,CJF,1,R,R-ANX091818A067,2,0.8487813146212337,0.42958085031148263,0.7255119200136999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A068,ANX,CJF_1,CJF,1,R,R-ANX091818A068,1,0.6114307041458875,0.42384695453736415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A069,ANX,CJF_1,CJF,1,R,R-ANX091818A069,1,0.6991389191636579,0.518338183265479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A070,ANX,CJF_1,CJF,1,R,R-ANX091818A070,1,0.5911752742848875,0.4106161614257447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A071,ANX,CJF_1,CJF,1,R,R-ANX091818A071,1,0.5747889071530593,0.38738446055735404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A072,ANX,CJF_1,CJF,1,R,R-ANX091818A072,1,0.7677058764079467,0.5461319627406321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A073,ANX,CJF_1,CJF,1,R,R-ANX091818A073,1,0.7245843692432702,0.44744186552287785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A074,ANX,CJF_1,CJF,1,R,R-ANX091818A074,1,0.650946776706591,0.4045774003514079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A076,ANX,CJF_1,CJF,1,R,R-ANX091818A076,1,0.6529109890104359,0.41683272375702185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A077,ANX,CJF_1,CJF,1,R,R-ANX091818A077,1,0.5492127457341929,0.37253113151171446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A078,ANX,CJF_1,CJF,1,R,R-ANX091818A078,1,0.6326180567975693,0.41984209148752727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A079,ANX,CJF_1,CJF,1,R,R-ANX091818A079,1,0.7702377962573879,0.5762946488412813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A080,ANX,CJF_1,CJF,1,R,R-ANX091818A080,2,0.7993271259973609,0.49906439465350644,0.6657414258618763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A081,ANX,CJF_1,CJF,1,R,R-ANX091818A081,1,0.701933311486464,0.5324360742817816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A082,ANX,CJF_1,CJF,1,R,R-ANX091818A082,3,1.0396448359627606,0.5013742781550002,0.738354227301419,0.9042155991539004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A083,ANX,CJF_1,CJF,1,R,R-ANX091818A083,4,1.215766420350305,0.5184753463265547,0.7556649991749937,0.9587129862261192,1.0871272823157594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A084,ANX,CJF_1,CJF,1,R,R-ANX091818A084,2,0.8488525638768188,0.5176842389038112,0.697869780945337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A085,ANX,CJF_1,CJF,1,R,R-ANX091818A085,3,0.9788220329642785,0.5266363634456727,0.7411440926077706,0.8763036579084923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A087,ANX,CJF_1,CJF,1,R,R-ANX091818A087,2,0.8988418083268026,0.5364619810620582,0.7586373985577951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A088,ANX,CJF_1,CJF,1,R,R-ANX091818A088,1,0.5511283569042418,0.3618261299239035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A089,ANX,CJF_1,CJF,1,R,R-ANX091818A089,2,0.8167747542425162,0.4649382295799648,0.6751227522048804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A090,ANX,CJF_1,CJF,1,R,R-ANX091818A090,1,0.7387120217281169,0.5059085458789011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANX091818A091,ANX,CJF_1,CJF,1,R,R-ANX091818A091,2,0.9426954805515954,0.582252184839174,0.7895593662241922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
