fishid,tissueid,date,rep,type,personel,weight_sample,fuse_length_unburned,fuse_length_burned,temp_rise,gross_heat_uncorrected,gross_heat_corrected,gear,gearid,waterbody,date_capture,fishspp,tl,ww,wwt,sex,gonww,maturity,goncond,condnet,abnormal,condbloodcoll,meshcolor,meshsize,notes,ploidy,tissueww,tissuedw,percent_DM,ED_ww,id_run
NAR032719013,NAR032719013G,20200805,2,gonad,NGA,0.13695,40,60,1.3698,21.9158,21.951,gn,GNNAR03271906,NAR,20190327,WAL,579,1978,NA,M,19.9,1,4,A,N,D,NA,3,NA,2N,8.28,1.65,19.92753623188406,4374.29347826087,NAR032719013G-2
NAR032719006,NAR032719006G,20200805,2,gonad,NGA,0.13757,29,71,1.3258,21.1005,21.0585,gn,GNNAR03271903,NAR,20190327,WAL,470,868,NA,M,22.2,1,4,A,N,A,NA,4,NA,2N,8.49,1.32,15.547703180212014,3274.1130742049463,NAR032719006G-2
NAR032519010,NAR032519010G,20200805,2,gonad,NGA,0.1142,36,64,1.134,21.662,21.6704,gn,GNNAR03251904,NAR,20190325,WAL,530,1564,NA,M,30,1,4,A,N,A,NA,4,NA,2N,12.09,2.39,19.768403639371382,4283.892142266336,NAR032519010G-2
NAR032619003,NAR032619003G,20200805,2,gonad,NGA,0.08827,51,49,0.8366,20.4891,20.6637,gn,GNNAR03261903,NAR,20190326,WAL,359,380,NA,M,6.3,1,4,A,N,A,NA,2.5,NA,2N,2.9,0.37,12.758620689655173,2636.403103448276,NAR032619003G-2
NAR032719014,NAR032719014G,20200805,2,gonad,NGA,0.11944,32,68,1.1655,21.3027,21.2785,gn,GNNAR03271906,NAR,20190327,WAL,521,1343,NA,M,28.1,1,4,A,N,A,NA,3,NA,2N,13.17,2.64,20.045558086560366,4265.394077448747,NAR032719014G-2
NAR033019018,NAR033019018G,20200805,2,gonad,NGA,0.14562,32,68,1.5033,22.6604,22.6406,gn,GNNAR03301904,NAR,20190330,WAL,490,1064,NA,M,23.7,1,4,A,N,A,NA,4,NA,2N,11.39,2.49,21.8612818261633,4949.525373134328,NAR033019018G-2
NAR032519005,NAR032519005G,20200806,2,gonad,NGA,0.14614,47,53,1.3698,20.5378,20.6168,gn,GNNAR03251902,NAR,20190325,WAL,469,1013,NA,M,28.1,1,4,A,N,A,NA,4,NA,2N,15.85,3.17,20,4123.360000000001,NAR032519005G-2
NAR032919021,NAR032919021G,20200806,2,gonad,NGA,0.11798,33,67,1.1913,22.0552,22.0389,gn,GNNAR03291905,NAR,20190329,WAL,485,1143,NA,M,34.7,1,4,A,N,A,NA,3,NA,2N,17.93,3.6,20.07808142777468,4424.9882877858345,NAR032919021G-2
NAR032119010,NAR032119010G,20200806,2,gonad,NGA,0.05658,51,49,0.5365,20.1038,20.3761,gn,GNNAR03211902,NAR,20190321,WAL,379,381,NA,M,4.2,1,4,A,N,A,NA,3,NA,2N,1.62,0.19,11.728395061728394,2389.7895061728395,NAR032119010G-2
NAR032719011,NAR032719011G,20200806,2,gonad,NGA,0.12471,35,65,1.1421,19.9828,19.9828,gn,GNNAR03271904,NAR,20190327,WAL,487,976,NA,M,20.4,1,4,A,N,A,NA,4,NA,2N,10.25,1.31,12.78048780487805,2553.8993170731706,NAR032719011G-2
