fishid,tissueid,date,rep,type,personel,weight_sample,fuse_length_unburned,fuse_length_burned,temp_rise,gross_heat_uncorrected,gross_heat_corrected
NAR032619001,NAR032619001G,20200217,1,gonad,BP,0.09632,36,64,1.184,26.8456,26.8556
NAR032619001,NAR032619001G,20200219,2,gonad,BP,0.10693,45,55,1.3189,27.0027,27.0928
NAR032619001,NAR032619001G,20200219,3,gonad,BP,0.10952,42,58,1.3487,26.9741,27.0357
NAR032619006,NAR032619006G,20200220,2,gonad,NGA,0.0658,28,72,0.7006,22.863,22.7606
NAR032619006,NAR032619006G,20200220,3,gonad,NGA,0.0624,33,67,0.6725,23.1044,23.0735
NAR032619013,NAR032619013G,20200220,1,gonad,NGA,0.04626,33,67,0.5085,23.235,23.1933
NAR032619013,NAR032619013G,20200220,3,gonad,NGA,0.04021,35,65,0.4573,23.8823,23.8823
NAR032619014,NAR032619014G,20200218,1,gonad,BP,0.18186,21,79,2.2318,27.1055,27.0314
NAR032619014,NAR032619014G,20200218,2,gonad,BP,0.21135,43,57,2.6049,27.2723,27.3087
NAR032619014,NAR032619014G,20200124,3,gonad,NGA,0.15618,30,70,1.9056,26.8906,26.8598
NAR032619016,NAR032619016G,20200217,1,gonad,BP,0.03123,32,68,0.3486,22.9649,22.8724
NAR032619016,NAR032619016G,20200220,2,gonad,BP,0.04294,52,48,0.452,22.0889,22.4702
NAR032719004,NAR032719004G,20200218,2,gonad,NGA,0.0399,26,74,0.4517,23.7526,23.5354
NAR032719004,NAR032719004G,20200220,3,gonad,BP,0.02431,46,54,0.2669,21.9847,22.4205
NAR032819001,NAR032819001G,20200218,1,gonad,BP,0.17504,13,87,2.1131,26.6453,26.5243
NAR032819001,NAR032819001G,20200128,2,gonad,NGA,0.17763,28,72,2.1364,26.3644,26.3267
NAR032819001,NAR032819001G,20200218,3,gonad,BP,0.17731,14,86,2.1471,26.7331,26.619
NAR032819003,NAR032819003G,20200219,1,gonad,BP,0.18005,33,67,2.1486,26.3437,26.333
NAR032819003,NAR032819003G,20200131,2,gonad,NGA,0.16129,34,66,1.9282,26.3518,26.3458
NAR032819003,NAR032819003G,20200219,3,gonad,BP,0.17085,31,69,2.1148,27.3206,27.2981
NAR032919001,NAR032919001G,20200220,1,gonad,BP,0.06341,38,62,0.676,22.8589,22.9045
NAR032919001,NAR032919001G,20200220,3,gonad,BP,0.05108,54,46,0.552,22.9444,23.3026
NAR032919007,NAR032919007G,20200214,2,gonad,NGA,0.0458,32,68,0.4302,19.6411,19.578
NAR032919009,NAR032919009G,20200220,1,gonad,NGA,0.04252,46,54,0.43,21.1462,21.3953
