fishid,id,light_type,reading,rep,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,waterbody
NAR071718005,R-NAR071718005,R,CJF_2,2,8,1.1871873054237758,0.37299102946836676,0.5732593522556719,0.6991464179058695,0.786552046778,0.8749526446461455,0.9805547163757102,1.0764131625717992,1.1530801969144369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718005,R-NAR071718005,R,CJF_3,3,8,1.2387265513610612,0.4146922726849507,0.6031176209276805,0.7534558099987245,0.8456580365043919,0.9238428024634593,1.0338934745382058,1.1136531949318644,1.1952334527323056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718006,R-NAR071718006,R,CJF_1,1,8,1.184597333532801,0.4426557659048236,0.5807684766276657,0.7145340846178533,0.7842528732863729,0.8785220537926101,0.9881097728351429,1.0759619782144039,1.1443559002687265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718006,R-NAR071718006,R,CJF_2,2,8,1.2183544926831809,0.438721512675888,0.6113895205470147,0.7321516487093375,0.8447667524664672,0.9395106417509359,1.0225156286827717,1.1141933619072255,1.172143378471519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718006,R-NAR071718006,R,CJF_3,3,8,1.1990175997604766,0.41985417418533855,0.5722584851534005,0.7120866636230604,0.8103478180320132,0.9011347875208375,0.9975720798115796,1.0701325940000845,1.1518002528978528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718007,R-NAR071718007,R,CJF_1,1,4,1.0291051572569039,0.3852111332270732,0.6757623485379856,0.8266619217200301,0.9625626265461468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718007,R-NAR071718007,R,CJF_2,2,4,1.0274518141090914,0.3688221563887112,0.6726091393688736,0.8375559372056869,0.9612299090325394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718007,R-NAR071718007,R,CJF_3,3,4,1.0008737056031354,0.3587176313590925,0.6393286485715376,0.805567517071152,0.9227670914564882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718008,R-NAR071718008,R,CJF_1,1,4,1.0587664631976939,0.4165409542387601,0.710627015428316,0.8899482761199614,1.0159851594869134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718008,R-NAR071718008,R,CJF_2,2,4,1.0467595851439684,0.4037442900585052,0.6898919529022947,0.856505358900764,0.9946775124442833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR071718008,R-NAR071718008,R,CJF_3,3,4,1.0385678310667017,0.37073099133188037,0.6693780466209815,0.8430237565433117,0.971219523029881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
