fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18
T052413WAL044,T05,CJF_1,CJF,1,H,HST052413WAL044,5,1.1394806930836108,0.5095270273119589,0.7195697800081166,0.8846298832692203,1.0255799144385374,1.1301902451533536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL045,T05,CJF_1,CJF,1,H,HST052413WAL045,3,0.9169993930542508,0.5542120655095452,0.7669476525579131,0.9017267747181539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL046,T05,CJF_1,CJF,1,H,HST052413WAL046,7,1.241995504189959,0.5012621002974832,0.6692864017228576,0.8188092007839536,0.9369506030737713,1.039653103669095,1.136230402924851,1.2232422051345357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL047,T05,CJF_1,CJF,1,H,HST052413WAL047,8,1.197995761911803,0.4462801225444748,0.5975435533636333,0.7287561307717707,0.829558662659266,0.9133382622961059,1.019713788630436,1.1038569701653427,1.1913320217707672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL048,T05,CJF_1,CJF,1,H,HST052413WAL048,9,1.290298723237373,0.6378234525345537,0.7467944493334879,0.8411136279641572,0.9503011600769564,1.0424034873613786,1.0836832707883997,1.1515910194741776,1.2001967119853334,1.2658876093248645,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL049,T05,CJF_1,CJF,1,H,HST052413WAL049,12,1.4348294914496404,0.46736034421483974,0.6174514775209504,0.7599656140423832,0.8811471747664723,0.9576802453379611,1.0294331482381558,1.0955923929115852,1.190076286165815,1.2542521922813303,1.317436429117891,1.3634833338271817,1.427659239942698,NA,NA,NA,NA,NA,NA
T052413WAL050,T05,CJF_1,CJF,1,H,HST052413WAL050,10,1.5145428773252152,0.6090339591619128,0.8191600119783977,0.9121407982811353,1.0283523742324425,1.140771560225538,1.230417197233207,1.3191099344422847,1.3921566619192165,1.4609345495386412,1.498401208457622,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL051,T05,CJF_1,CJF,1,H,HST052413WAL051,9,1.431736991750147,0.48955012572613776,0.713906846681526,0.8601157770053542,0.9985576548325787,1.1078531997281413,1.18399956902736,1.271756744932692,1.3282866222964342,1.420126185144034,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL052,T05,CJF_1,CJF,1,H,HST052413WAL052,4,1.0991952480228042,0.6442802011912874,0.8318078102457681,0.949730826709307,1.08650751877581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL053,T05,CJF_1,CJF,1,H,HST052413WAL053,7,1.4835791027459866,0.7548892892927458,0.9651979061906989,1.0876894460956759,1.2039061339140071,1.305001151372216,1.3961338569539934,1.4714012297736816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL054,T05,CJF_1,CJF,1,H,HST052413WAL054,4,0.8095161806656997,0.5108176968906553,0.5108176968906553,0.7792134359348981,0.7792134359348981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL055,T05,CJF_1,CJF,1,H,HST052413WAL055,6,1.1030798410852152,0.4790723991629902,0.604510195109572,0.7546064557499166,0.8854828213638213,0.9943275565222208,1.0920178005597603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL056,T05,CJF_1,CJF,1,H,HST052413WAL056,5,0.9591704928988272,0.3481978078219067,0.5477818625656661,0.742266681508203,0.8474051867500508,0.9591704928988269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL057,T05,CJF_1,CJF,1,H,HST052413WAL057,4,1.099875600082745,0.5329533079381403,0.7886942012325735,0.9614299969077141,1.0824092955390419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T053013WAL001,T05,CJF_1,CJF,1,H,HST053013WAL001,0,0.5543060303409456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T053013WAL002,T05,CJF_1,CJF,1,H,HST053013WAL002,1,0.8449914682881107,0.5591039704939365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T053013WAL003,T05,CJF_1,CJF,1,H,HST053013WAL003,1,0.7834484562634748,0.5688293934005078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T053013WAL004,T05,CJF_1,CJF,1,H,HST053013WAL004,5,0.9736053832725574,0.44630031968891387,0.5892966470482088,0.7250607934530657,0.8584687439627774,0.9614972172588265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T053013WAL005,T05,CJF_1,CJF,1,H,HST053013WAL005,3,0.9088140345339875,0.49646752163767455,0.710467669869887,0.8798309028707398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T053013WAL006,T05,CJF_1,CJF,1,H,HST053013WAL006,1,0.669605559165264,0.426990017578825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T053013WAL007,T05,CJF_1,CJF,1,H,HST053013WAL007,5,0.9458535642962509,0.42681994766090336,0.5850660132911444,0.700406816987888,0.845277900514382,0.9324785821925032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T053013WAL008,T05,CJF_1,CJF,1,H,HST053013WAL008,3,0.7736820833274658,0.4852780750925862,0.6422110429413787,0.7681716522119412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T053013WAL010,T05,CJF_1,CJF,1,H,HST053013WAL010,4,0.9594935485224433,0.4053919386739821,0.6586758669778884,0.8141822165435646,0.9499867978743135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
