fishid,radcap
JAX111419004,1.045470103
JAX111419005,0.80047224
JAX111419006,0.763810187
JAX111419007,0.944645431
JAX111419008,0.653962026
JAX111419009,0.962900245
JAX111419010,0.668236356
JAX111419011,0.7725173
JAX111419012,1.045384806
JAX111419013,0.696011053
JAX111419014,0.853539648
JAX111419015,0.876832313
JAX111419016,0.963923948
JAX111419017,0.899235043
JAX111419018,0.870884062
JAX111419019,0.746407893
JAX111419020,0.799626887
JAX111419021,0.6940327
JAX111419022,0.88890888
JAX111419023,1.00136458
JAX111419024,0.770734287
JAX111419025,0.819288938
JAX111419026,0.689392861
JAX111419027,0.604602578
JAX111419028,0.672794824
JAX111419029,0.658467771
JAX111419030,0.740773447
JAX111419031,0.501620337
JAX111419032,0.612517243
JAX111419033,0.838877944
JAX111419034,0.768669566
JAX111419035,0.808803623
JAX111419036,0.749073677
JAX111419037,0.690008244
JAX111419038,0.790620178
JAX111419039,0.983202913
JAX111419040,0.797051513
JAX111419041,0.764653667
JAX111419042,0.953759758
JAX111419043,0.987429096
JAX111419044,0.818015266
JAX111419045,0.766609025
JAX111419046,0.738034231
JAX111419047,0.951106489
JAX111419048,0.808108394
JAX111419049,0.717668566
JAX111419050,0.644358778
JAX111419051,0.699982396
JAX111419052,0.895029262
JAX111419053,1.115291457
JAX111419054,0.537045555
JAX111419055,0.789222402
JAX111419056,0.597867934
JAX111419057,0.768378576
JAX111419058,0.962790615
JAX111419059,0.752185485
JAX111419060,0.821376414
JAX111419061,0.694741852
JAX111419062,0.737832405
JAX111419063,0.861896942
JAX111419064,0.876525863
JAX111419065,0.953440527
JAX111419066,0.691487318
JAX111419067,0.764984764
JAX111419068,0.748646216
JAX111419069,0.710594039
JAX111419070,0.822677605
JAX111419071,0.891681814
JAX111419072,0.795376237
JAX111419073,0.85193234
JAX111419074,0.65278639
JAX111419075,0.866291339
JAX111419076,0.817691792
JAX111419077,0.908406029
JAX111419078,0.781775934
JAX111419079,0.693075046
JAX111419080,0.81372661
JAX111419081,0.661413662
JAX111419082,0.601938779
JAX111419083,0.668027503
JAX111419084,0.664708953
JAX111419085,0.618146442
JAX111419086,0.685322487
JAX111419087,0.578030547
JAX111419088,0.690753125
JAX111419089,0.712333249
JAX111419090,0.57200439
JAX111419091,0.430057242
JAX111419092,0.516976884
JAX111419093,1.080446914
JAX111419094,0.763237367
JAX111419095,0.840440147
JAX111419096,0.791266832
JAX111419097,0.815473253
JAX111419098,0.744545803
JAX111419099,0.558281595
JAX111419100,0.459568146
JAX111419101,0.993281583
JAX111419102,1.086649775
JAX111419103,0.831055491
JAX111419104,0.914306617
JAX111419105,0.890784341
JAX111419106,0.817258954
JAX111419107,0.710746668
JAX111419108,0.942499933
JAX111419109,0.819671135
JAX111419110,0.807676733
JAX111419111,1.015717912
JAX111419112,0.849250619
JAX111419113,0.767039783
JAX111419114,0.823997952
JAX111419115,0.738905703
JAX111419116,0.748487024
JAX111419117,0.63186735
JAX111419118,0.658786175
JAX111419119,0.971094604
JAX111419120,0.976920853
JAX111419121,0.827670693
JAX111419122,0.794428082
JAX111419123,0.746030904
JAX111419124,0.964182497
JAX111419125,1.024139583
JAX111419126,0.920555827
JAX111419127,0.74617356
JAX111419128,0.882214373
JAX111419129,0.765590677
JAX111419130,0.982246006
