fishid,id,light_type,reading,rep,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18,rad19,rad20,rad21,rad22,waterbody
NAR032019003,R-NAR032019003,R,CJF_3,3,7,1.3920491758338749,0.5664143091586002,0.8329453765871877,0.9923002958547953,1.1278595027149865,1.242155276132671,1.3374335680899423,1.3920491758338749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR032019004,R-NAR032019004,R,CJF_1,1,10,1.4831870429365073,0.3502059530650556,0.603475649164698,0.7561874136833759,0.8561913746967165,0.9440943110492441,1.0383887748554443,1.131575297526397,1.2858209140690384,1.3801153778752393,1.4831870429365073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR032019004,R-NAR032019004,R,CJF_2,2,10,1.4563615115519257,0.3669757556294212,0.6070753166262787,0.7498377416402342,0.866451424169606,0.9457604912659531,1.0486603031217492,1.1331158868710187,1.2608854423488307,1.3680536706136275,1.4563615115519257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR032019004,R-NAR032019004,R,CJF_3,3,10,1.450919267889733,0.3488813491948687,0.6155654844887393,0.7585501692933077,0.8551249754419751,0.945490911719979,1.0432103002976358,1.1366806715109714,1.2868541524393748,1.3615332578649002,1.450919267889733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR032019005,R-NAR032019005,R,CJF_1,1,16,1.459010046323488,0.41556803895773897,0.566830535285487,0.6690000246306445,0.736206887780992,0.8160908286205547,0.8671755732931339,0.9157301456843008,0.97152501728614,1.0233364135080016,1.0791312851098411,1.1383711975002346,1.199414630622756,1.2573894568724435,1.349412040809798,1.413362080129452,1.459010046323488,NA,NA,NA,NA,NA,NA,NAR
NAR032019005,R-NAR032019005,R,CJF_2,2,17,1.45097430316882,0.4148933173491373,0.562609522336711,0.6400480596771572,0.7472900677675133,0.8286166825469461,0.8722225149131531,0.9185817617633532,0.9637710564622228,1.0289906945190348,1.0800650391708877,1.1311393838227404,1.1877205574425775,1.2325316311564496,1.2788908780066497,1.338603687095477,1.3963548128666434,1.45097430316882,NA,NA,NA,NA,NA,NAR
NAR032019005,R-NAR032019005,R,CJF_3,3,17,1.425279781598895,0.3958237788457092,0.548393960319207,0.6429728231128701,0.7196453402034924,0.8009881568968118,0.8554820467136782,0.9010121720009178,0.9481131860598666,1.0076542101551949,1.0528075007666693,1.1154691190492017,1.1621721150761686,1.2081002583953895,1.2641438536277496,1.3221351723075854,1.3820742144348959,1.425279781598895,NA,NA,NA,NA,NA,NAR
NAR032019006,R-NAR032019006,R,CJF_1,1,13,1.601824214079266,0.5331660484066212,0.7175997832115723,0.839886140671998,0.9443634109835941,1.03927520259823,1.113524147036487,1.1842328044636599,1.2349651416979892,1.3177753662188931,1.3920243106571504,1.4719807751505054,1.5359777139082675,1.601824214079266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR032019006,R-NAR032019006,R,CJF_2,2,13,1.5988234655031286,0.5591861353511884,0.7428984440155402,0.8512884763917079,0.9590665683510605,1.051797470268686,1.1282573013109536,1.18214634729063,1.254055959316563,1.331653345112914,1.3994520263802344,1.4626141625516733,1.5402978744275715,1.5988234655031286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
NAR032019006,R-NAR032019006,R,CJF_3,3,13,1.5809361801303272,0.5580784163078445,0.7193078026042055,0.8409027474774178,0.9368934368743905,1.0297551047028435,1.1074762804686915,1.1671634467896024,1.2326376478751784,1.3243890095879352,1.3909735167892068,1.4571206230257239,1.5161348841956932,1.5809361801303272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAR
